com.samsung.shealth.rewards,6211031,4
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
,2021-03-18 04:00:00.000,,10009,,2022-03-26 15:59:48.829,2022-03-26 15:59:48.829,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":8000,""mValue"":17216}",Idp7XEd6un,com.sec.android.app.shealth,tracker.pedometer,2021-03-18 04:00:00.000,1fbdae3b-4222-48c3-b2cc-2b314d30d66f,1,
,2021-07-28 00:04:18.476,,,,2021-07-29 00:53:40.692,2021-07-28 00:04:18.518,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":66,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2021-07-28 00:04:18.476,4e57e3ad-c8f9-4f09-ac8c-4552a46d7a13,0,
,2021-03-15 23:33:44.038,,,,2021-03-16 22:01:03.143,2021-03-15 23:33:44.124,,,goal_activity_reward_goal_achieved,UTC-0600,"{""mIsCompleted"":false,""mValue"":108,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2021-03-15 23:33:44.038,6e86ff13-f321-40d9-afa9-e760b2e956ca,0,
,2021-06-28 04:00:00.000,,10009,,2022-03-26 15:59:48.830,2022-03-26 15:59:48.830,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":8000,""mValue"":9750}",Idp7XEd6un,com.sec.android.app.shealth,tracker.pedometer,2021-06-28 04:00:00.000,86662a75-6e3a-41a5-90df-1d7b8a637261,1,
,2021-08-01 18:20:30.819,,,,2021-08-04 02:39:00.678,2021-08-01 18:20:30.847,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":106,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2021-08-01 18:20:30.819,c2d1b6f0-90a6-4ec8-8b44-5faa3c36195d,0,
,2021-10-12 04:00:00.000,,10009,,2022-03-26 15:59:48.830,2022-03-26 15:59:48.830,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":8000,""mValue"":18312}",Idp7XEd6un,com.sec.android.app.shealth,tracker.pedometer,2021-10-12 04:00:00.000,bb98c221-ff13-46e2-9ccf-eeebaa50acdd,1,
,2020-12-19 00:34:19.967,,,,2020-12-19 17:50:38.228,2020-12-19 00:34:20.040,,,goal_activity_reward_goal_achieved,UTC-0500,"{""mIsCompleted"":false,""mValue"":86,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2020-12-19 00:34:19.967,a48152fe-2056-4576-aa2c-0b6141322cb6,0,
,2020-12-05 00:31:37.237,,,,2020-12-06 19:21:46.513,2020-12-05 00:31:37.290,,,goal_activity_reward_goal_achieved,UTC-0500,"{""mIsCompleted"":false,""mValue"":76,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2020-12-05 00:31:37.237,0a5900ec-27e6-427c-a382-8f6ec0ec7fd9,0,
1203,,14001,,af15c1d4-fedd-af98-d171-71d67c3ad196,2022-03-26 15:59:38.268,2020-11-08 00:49:35.714,,,1203,UTC-0500,15365260,Idp7XEd6un,com.sec.android.app.shealth,sport.tracker.best.record.duration.lifetime,2020-11-08 00:34:09.580,f985d160-6d98-47a5-93df-e56d5eea0bb5,1,
,2022-03-06 05:00:00.000,,10009,,2022-03-26 15:59:58.438,2022-03-26 15:59:48.830,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":8000,""mValue"":11213}",Idp7XEd6un,com.sec.android.app.shealth,tracker.pedometer,2022-03-06 05:00:00.000,9c4f0b9b-e5f5-414f-baa9-09830fc0f0ad,1,
