com.samsung.shealth.tracker.pedometer_step_count,6211031,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
60000,4,0,95,2022-02-14 23:37:00.000,,,2022-02-14 23:38:19.184,2022-02-14 23:38:19.184,95,1.246517,74.791016,4.6839294,UTC-0500,Idp7XEd6un,com.sec.android.app.shealth,2022-02-14 23:38:00.000,2230907e-f6b4-4a20-a42c-b896a7f08b80,
43200,4,0,71,2022-02-14 17:45:00.000,230002,,2022-02-14 17:47:36.747,2022-02-14 17:47:36.746,71,1.25,54.0,3.63,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-14 17:45:59.999,73abcb32-02e9-3fde-c1f1-2c3f5b13c2e4,
10206,4,0,15,2022-02-14 02:02:00.000,230002,,2022-02-14 02:02:30.325,2022-02-14 02:02:30.325,15,1.1111112,11.34,0.77,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-14 02:02:59.999,42ccf8d8-dda2-60b3-6849-e12dac9b634c,
49905,4,0,72,2022-02-13 22:47:00.000,,,2022-02-13 22:47:58.476,2022-02-13 22:47:48.049,72,1.1121117,55.5,3.5882568,UTC-0500,Idp7XEd6un,com.sec.android.app.shealth,2022-02-13 22:48:00.000,c5f883e8-54a7-4367-b79b-6e499053ee52,
58805,4,0,98,2022-02-13 22:03:00.000,230002,,2022-02-13 22:07:01.843,2022-02-13 22:07:01.843,98,1.2777778,75.14,4.89,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-13 22:03:59.999,2a229e23-ae87-92d1-f48d-dd811209bc8d,
8739,4,0,14,2022-02-13 23:23:00.000,,,2022-02-13 23:24:04.751,2022-02-13 23:24:04.751,14,1.2400012,10.836426,0.6966858,UTC-0500,Idp7XEd6un,com.sec.android.app.shealth,2022-02-13 23:24:00.000,2dfd81e2-f87e-401e-a2af-5d27dcd85a45,
3027,4,0,7,2022-02-16 01:02:00.000,230002,,2022-02-16 01:10:48.296,2022-02-16 01:10:48.295,7,1.9722222,5.97,0.3,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-16 01:02:59.999,7973ccf7-5dfe-78c7-8886-e6cefcf00956,
42048,4,0,80,2022-02-15 13:45:00.000,230002,,2022-02-15 13:50:00.408,2022-02-15 13:45:31.546,80,1.5277778,64.24,4.09,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-15 13:45:59.999,30364554-48d5-c3fb-cdf7-3811ef79d2b6,
18430,4,0,31,2022-02-13 19:21:00.000,230002,,2022-02-13 19:22:37.316,2022-02-13 19:22:37.316,31,1.2777778,23.55,1.58,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-13 19:21:59.999,baf81954-6ee6-ed9d-693d-a231d23873d4,
60000,4,0,105,2022-02-13 21:23:00.000,230002,,2022-02-13 21:30:46.190,2022-02-13 21:30:46.190,105,1.3641666,81.85,5.18,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-13 21:23:59.999,c8b0190b-8ec8-4a47-09ad-d77fabff89c0,
15281,4,0,26,2022-02-14 14:03:00.000,230002,,2022-02-14 14:05:39.310,2022-02-14 14:03:41.350,26,1.3205382,20.18,1.29,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-14 14:03:59.999,51ef63ac-0335-5b36-2a35-0616642649b4,
18391,4,2,34,2022-02-15 01:05:00.000,230002,,2022-02-15 01:08:05.360,2022-02-15 01:08:05.360,36,1.5833334,29.12,2.2,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-15 01:05:59.999,788496fd-b67d-082f-2d05-a22880d27482,
56475,4,0,97,2022-02-13 22:20:00.000,230002,,2022-02-13 22:22:27.216,2022-02-13 22:22:27.215,97,1.3333334,75.3,4.81,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-13 22:20:59.999,8a14171b-8436-16d2-4dd3-38435a1b6d55,
6488,4,0,10,2022-02-15 13:18:00.000,230002,,2022-02-15 13:20:02.228,2022-02-15 13:20:02.228,10,1.1388888,7.39,0.5,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-15 13:18:59.999,e320fbcb-df33-3ad5-7bf9-7821638918a7,
12883,4,0,18,2022-02-15 13:10:00.000,,,2022-02-15 13:11:01.849,2022-02-15 13:10:52.219,18,1.1128272,14.337402,0.8840637,UTC-0500,Idp7XEd6un,com.sec.android.app.shealth,2022-02-15 13:11:00.000,f517213b-bc4a-4343-babd-08afe118fb08,
35006,4,0,61,2022-02-13 20:47:00.000,230002,,2022-02-13 20:48:43.305,2022-02-13 20:47:37.324,61,1.3428959,47.01,3.1,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-13 20:47:59.999,70fd32e7-6c66-485c-df5e-a3e9e7bbe988,
19275,4,0,34,2022-02-13 21:21:00.000,,,2022-02-13 21:23:28.925,2022-02-13 21:23:28.925,34,1.3714318,26.43457,1.6870804,UTC-0500,Idp7XEd6un,com.sec.android.app.shealth,2022-02-13 21:22:00.000,e8428e17-0601-45f5-8e52-3820feaefa5d,
8005,4,0,16,2022-02-15 21:58:00.000,230002,,2022-02-15 22:00:04.266,2022-02-15 22:00:04.266,16,1.5277778,12.23,0.86,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-15 21:58:59.999,eb5b52cc-895b-eab1-0873-f83aa56e258a,
37113,4,0,59,2022-02-13 20:43:00.000,230002,,2022-02-13 20:47:37.302,2022-02-13 20:47:37.302,59,1.1944444,44.33,3.04,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-13 20:43:59.999,429ec3fd-6282-9c44-3c44-f77627d4658a,
26424,4,0,43,2022-02-13 21:27:00.000,230002,,2022-02-13 21:30:46.219,2022-02-13 21:30:46.218,43,1.25,33.03,2.19,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-13 21:27:59.999,bd0646de-618f-9215-7399-043a2b7948c6,
21286,4,0,29,2022-02-14 17:41:00.000,230002,,2022-02-14 17:42:18.302,2022-02-14 17:41:39.309,36,1.3181894,28.06,1.8,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-14 17:41:59.999,418dcb4a-4561-464c-4543-afb088373a94,
8988,4,0,12,2022-02-13 21:45:00.000,,,2022-02-13 21:45:18.225,2022-02-13 21:45:18.225,12,1.011076,9.087891,0.60601807,UTC-0500,Idp7XEd6un,com.sec.android.app.shealth,2022-02-13 21:46:00.000,ade65b5e-2c60-4786-8716-b83e5cee8c29,
18063,4,0,25,2022-02-15 00:44:00.000,,,2022-02-15 00:44:30.442,2022-02-15 00:44:14.258,25,1.053053,19.021973,1.2584534,UTC-0500,Idp7XEd6un,com.sec.android.app.shealth,2022-02-15 00:45:00.000,fcbaf0b3-767b-4415-9f9e-ebd33b911bf0,
