com.samsung.shealth.stand_day_summary,6211031,1
stand_time,update_time,create_time,deviceuuid,pkg_name,datauuid,day_time
4720640,2021-12-19 03:50:00.712,2021-12-18 14:23:33.384,j9zBUHWfhn,com.sec.android.app.shealth,3b631d44-4403-bcb2-48b6-64051bd3646e,1639785600000,
2425857,2021-05-17 01:49:47.555,2021-05-16 04:00:10.326,j9zBUHWfhn,com.sec.android.app.shealth,c142f145-b14b-d1be-4c6b-96e58f4695d4,1621123200000,
10528768,2021-08-28 03:22:37.253,2021-08-27 12:31:55.994,j9zBUHWfhn,com.sec.android.app.shealth,a5c26545-a4db-5f35-d9f6-a2e9f2cca0df,1630022400000,
4397056,2021-05-19 02:11:02.295,2021-05-18 12:29:20.330,j9zBUHWfhn,com.sec.android.app.shealth,14fa3f62-efd7-f2e7-597c-2e903d82c885,1621296000000,
577536,2022-02-01 00:48:50.238,2022-01-31 13:35:54.791,j9zBUHWfhn,com.sec.android.app.shealth,def38970-2a19-4f42-9681-0c07f013c04d,1643587200000,
6361088,2022-02-26 03:52:00.391,2022-02-25 13:00:31.483,j9zBUHWfhn,com.sec.android.app.shealth,26f89dac-6e3a-c028-8fc2-b230fae870b8,1645747200000,
5120,2022-03-03 05:02:50.584,2022-03-02 15:00:03.831,j9zBUHWfhn,com.sec.android.app.shealth,0566aef4-fd5b-2050-7eb1-2c9b53eb12d3,1646265600000,
1318912,2022-03-09 13:45:20.206,2022-03-09 01:17:04.474,j9zBUHWfhn,com.sec.android.app.shealth,af1370d1-5782-7b91-05e7-763389ba9a0d,1646784000000,
2048,2022-03-15 11:30:09.808,2022-03-15 00:27:47.494,j9zBUHWfhn,com.sec.android.app.shealth,130679e4-f689-f644-7483-ea96412ce6e5,1647302400000,
1328640,2022-03-22 00:40:38.227,2022-03-21 09:53:38.490,j9zBUHWfhn,com.sec.android.app.shealth,a17b0789-f50e-1587-594f-14f98109a538,1647820800000,
5046272,2020-12-06 03:23:28.274,2020-12-05 18:12:20.273,j9zBUHWfhn,com.sec.android.app.shealth,fb93d8eb-e720-c4fa-2f3a-a5f2707527b0,1607126400000,
4527104,2021-02-18 03:36:25.288,2021-02-17 13:27:43.933,j9zBUHWfhn,com.sec.android.app.shealth,746efea8-5331-40e1-0814-e2b019c2bcac,1613520000000,
4345856,2021-06-05 02:45:33.296,2021-06-04 12:43:42.302,j9zBUHWfhn,com.sec.android.app.shealth,18945203-e5a2-70d6-5d8b-94842d80a0c4,1622764800000,
4456448,2022-01-03 03:03:34.295,2022-01-02 14:31:56.770,j9zBUHWfhn,com.sec.android.app.shealth,047a206d-b5ab-9beb-4bc3-3e85e45bdab2,1641081600000,
3480576,2021-12-08 02:33:31.244,2021-12-07 13:01:21.372,j9zBUHWfhn,com.sec.android.app.shealth,8ec40a25-2ccd-4480-56dc-75d377fb7890,1638835200000,
165888,2020-10-07 21:15:54.259,2020-10-07 12:25:31.932,j9zBUHWfhn,com.sec.android.app.shealth,b9adc941-6351-ce00-f39b-06eb23b89e4e,1602028800000,
4555777,2021-12-13 03:06:10.218,2021-12-12 05:00:05.117,j9zBUHWfhn,com.sec.android.app.shealth,e2b708bc-e3cc-4310-9b97-73b201dcda37,1639267200000,
8192,2020-10-12 17:41:19.537,2020-10-12 14:04:40.969,j9zBUHWfhn,com.sec.android.app.shealth,281e24d3-92c7-0b65-c054-f8be0581506d,1602460800000,
8555520,2022-01-15 04:01:20.232,2022-01-14 13:32:22.212,j9zBUHWfhn,com.sec.android.app.shealth,56d503f1-f840-6e2f-cf3e-2dd7339ae5df,1642118400000,
4554752,2022-02-06 03:21:40.221,2022-02-05 14:00:44.879,j9zBUHWfhn,com.sec.android.app.shealth,e63d9989-5d68-f879-384a-4c6affd165f9,1644019200000,
2691072,2021-10-30 01:58:44.348,2021-10-29 12:02:51.696,j9zBUHWfhn,com.sec.android.app.shealth,41e0b01c-5f34-8019-e589-1eef643a1f29,1635465600000,
140288,2020-11-20 22:24:00.790,2020-11-20 13:00:10.830,j9zBUHWfhn,com.sec.android.app.shealth,4d04b3c9-b34b-88b7-0f34-08acd7c1eb6d,1605830400000,
2129920,2021-01-16 02:44:46.309,2021-01-15 13:32:08.981,j9zBUHWfhn,com.sec.android.app.shealth,12fd7c88-93d9-a67e-1f81-22952e193c50,1610668800000,
167936,2021-04-23 21:44:14.270,2021-04-23 12:38:37.232,j9zBUHWfhn,com.sec.android.app.shealth,183a4173-7877-6059-04a0-d6d12b631deb,1619136000000,
2249728,2021-11-05 01:12:16.210,2021-11-04 12:04:01.257,j9zBUHWfhn,com.sec.android.app.shealth,ff865943-5ee1-f895-e554-7656c4000ffb,1635984000000,
5067776,2022-01-25 03:01:04.236,2022-01-24 13:06:00.890,j9zBUHWfhn,com.sec.android.app.shealth,ebeb9447-798f-f93c-c8ee-b9103deccd5c,1642982400000,
6987776,2022-02-21 03:54:11.201,2022-02-20 13:41:15.239,j9zBUHWfhn,com.sec.android.app.shealth,038c3e77-1b49-2214-1dc9-48606ac26f48,1645315200000,
36864,2021-07-07 19:50:55.841,2021-07-07 12:27:46.732,j9zBUHWfhn,com.sec.android.app.shealth,8e59e2e9-4b4b-ad5e-b988-e812b1350db5,1625616000000,
4263938,2021-02-08 03:21:54.065,2021-02-07 05:00:03.693,j9zBUHWfhn,com.sec.android.app.shealth,a1b38e51-3ab1-4860-a6d7-ba09968d7646,1612656000000,
4736000,2020-12-24 03:15:33.214,2020-12-23 13:02:20.839,j9zBUHWfhn,com.sec.android.app.shealth,0210abf0-f482-8443-8f7a-d592abcd6658,1608681600000,
88064,2020-11-02 21:10:25.690,2020-11-02 13:37:20.607,j9zBUHWfhn,com.sec.android.app.shealth,48152729-f43b-9ab8-c70f-45939e7fd5d4,1604275200000,
183296,2021-06-17 21:55:04.232,2021-06-17 12:35:05.542,j9zBUHWfhn,com.sec.android.app.shealth,3317585f-dbff-ab17-1775-14ecc652d295,1623888000000,
1114112,2020-12-13 01:21:13.292,2020-12-12 18:13:19.527,j9zBUHWfhn,com.sec.android.app.shealth,7a05e0c5-9873-fac5-e53e-15ff1a22895b,1607731200000,
0,2020-10-02 13:28:50.227,2020-10-02 13:28:50.227,j9zBUHWfhn,com.sec.android.app.shealth,c9cf179b-ab8d-4d29-5468-87eb69bb58c1,1601596800000,
10633216,2021-06-01 03:04:42.313,2021-05-31 16:09:49.786,j9zBUHWfhn,com.sec.android.app.shealth,4ede3941-4c0b-2f64-6c54-b52833f99bd0,1622419200000,
