com.samsung.health.floors_climbed,6211031,5
start_time,custom,update_time,create_time,floor,time_offset,deviceuuid,pkg_name,end_time,datauuid
2021-11-16 18:19:22.951,,2021-11-16 18:26:42.992,2021-11-16 18:26:42.955,1.0,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2021-11-16 18:19:42.952,39fd1ced-e18b-eed6-f9c8-d55c98db46b4,
2022-03-06 22:26:42.331,,2022-03-06 22:42:11.676,2022-03-06 22:42:11.631,1.0,UTC+0700,j9zBUHWfhn,com.sec.android.app.shealth,2022-03-06 22:26:52.332,b7aad3b4-d03f-34e0-46a4-693efe4ce0d7,
2020-10-03 19:39:21.309,,2020-10-03 19:40:58.425,2020-10-03 19:40:58.371,1.0,UTC-0400,j9zBUHWfhn,com.sec.android.app.shealth,2020-10-03 19:39:48.315,1d95dc85-5401-5c78-80ac-421b25edc987,
2022-03-11 06:57:33.827,,2022-03-11 06:59:36.876,2022-03-11 06:59:36.850,1.0,UTC+0700,j9zBUHWfhn,com.sec.android.app.shealth,2022-03-11 06:57:58.829,1b51054f-9dc0-fa9e-2fc2-ddc1f1bac85e,
2022-01-26 19:08:49.565,,2022-01-26 19:10:01.613,2022-01-26 19:10:01.568,1.0,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-01-26 19:09:06.567,6fe2878b-8569-b51a-ab00-3422e884f098,
2022-03-11 07:03:35.272,,2022-03-11 07:14:25.587,2022-03-11 07:14:25.535,1.0,UTC+0700,j9zBUHWfhn,com.sec.android.app.shealth,2022-03-11 07:04:18.274,9ba16ada-a59b-ad45-483c-26cfdea35bec,
2021-10-09 12:45:31.714,,2021-10-09 13:00:57.926,2021-10-09 13:00:57.849,2.0,UTC+0200,j9zBUHWfhn,com.sec.android.app.shealth,2021-10-09 12:45:55.716,e2bd2297-993b-cb5e-d79e-fb7cb42c6a84,
2022-03-13 06:46:45.037,,2022-03-13 07:20:56.074,2022-03-13 07:20:56.041,1.0,UTC+0700,j9zBUHWfhn,com.sec.android.app.shealth,2022-03-13 06:46:58.039,e0a60dc8-0f29-3506-d9d9-b7bb6142957a,
2022-02-07 00:23:38.428,,2022-02-07 00:40:57.568,2022-02-07 00:40:57.477,1.0,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-07 00:23:47.446,3f4ecea8-ffaf-1cc2-5fc2-4d5726c3c745,
2022-03-11 09:32:26.514,,2022-03-11 09:35:55.707,2022-03-11 09:35:55.688,1.0,UTC+0700,j9zBUHWfhn,com.sec.android.app.shealth,2022-03-11 09:32:36.515,26fb5a67-1303-2c26-d2f5-8c25b2f1d089,
2022-03-17 05:59:46.544,,2022-03-17 05:59:46.755,2022-03-17 05:59:46.550,1.0,UTC+0700,j9zBUHWfhn,com.sec.android.app.shealth,2022-03-17 05:59:46.546,d97bdbf5-349d-655c-f02c-1f89d05a571b,
2020-10-04 18:23:34.765,,2020-10-04 18:25:44.833,2020-10-04 18:25:44.801,2.0,UTC-0400,j9zBUHWfhn,com.sec.android.app.shealth,2020-10-04 18:24:14.768,598452fa-5fc3-de4c-e7a6-e8081fd9a793,
2022-03-21 16:58:18.054,,2022-03-21 16:58:35.794,2022-03-21 16:58:35.056,1.0,UTC-0400,j9zBUHWfhn,com.sec.android.app.shealth,2022-03-21 16:58:32.757,481f086a-25ae-c06e-0af9-08afa7b70926,
2022-03-16 22:13:35.164,,2022-03-16 22:21:19.279,2022-03-16 22:21:19.168,1.0,UTC+0700,j9zBUHWfhn,com.sec.android.app.shealth,2022-03-16 22:13:47.166,20981afa-67d2-2121-9f22-81a364899af3,
2022-01-17 17:01:19.962,,2022-01-17 17:10:24.052,2022-01-17 17:10:24.001,1.0,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-01-17 17:01:33.964,a7a57fe3-0726-0b8e-f03f-7c66479f7d4b,
2020-12-26 17:26:02.945,,2020-12-26 17:28:26.145,2020-12-26 17:28:26.018,1.0,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2020-12-26 17:26:22.947,edd3f8b8-fded-b6f3-da71-b3eeb67e612f,
2022-03-25 01:05:03.416,,2022-03-25 01:06:14.489,2022-03-25 01:06:14.431,1.0,UTC-0400,j9zBUHWfhn,com.sec.android.app.shealth,2022-03-25 01:05:17.424,2a329907-43d8-60de-7780-093c24eaf305,
2022-01-14 20:16:46.549,,2022-01-14 20:22:01.581,2022-01-14 20:22:01.551,1.0,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-01-14 20:17:01.551,9540cd76-b785-2f85-cba0-7308b9f38287,
2021-07-09 19:22:13.290,,2021-07-09 19:29:57.325,2021-07-09 19:29:57.297,1.0,UTC-0400,j9zBUHWfhn,com.sec.android.app.shealth,2021-07-09 19:22:21.292,5f56f36e-4090-0b9a-5e50-550bf8c80107,
2022-03-20 22:41:50.347,,2022-03-20 22:43:21.412,2022-03-20 22:43:21.375,1.0,UTC-0400,j9zBUHWfhn,com.sec.android.app.shealth,2022-03-20 22:42:04.349,5fd15524-cb2f-2591-943b-c0d49448e3b4,
2021-09-18 02:52:19.285,,2021-09-18 02:53:25.357,2021-09-18 02:53:25.326,1.0,UTC-0400,j9zBUHWfhn,com.sec.android.app.shealth,2021-09-18 02:53:03.287,68ec34bf-199e-8e88-3c3a-8df2937d4f97,
2021-11-14 20:29:56.470,,2021-11-14 20:31:43.522,2021-11-14 20:31:43.474,1.0,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2021-11-14 20:30:15.472,5f8f34db-26c2-a163-494c-35fc0525afda,
2020-10-04 17:25:26.539,,2020-10-04 17:31:50.600,2020-10-04 17:31:50.543,1.0,UTC-0400,j9zBUHWfhn,com.sec.android.app.shealth,2020-10-04 17:25:48.541,8081ddee-fba6-99e7-d9be-be1205e6cc53,
2021-12-18 15:08:36.731,,2021-12-18 15:11:57.824,2021-12-18 15:11:57.734,1.0,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2021-12-18 15:08:50.733,ac18fb3c-ec87-90a1-a644-6b4da1b04ff3,
2021-10-25 01:53:42.126,,2021-10-25 01:54:40.201,2021-10-25 01:54:40.129,1.0,UTC-0400,j9zBUHWfhn,com.sec.android.app.shealth,2021-10-25 01:53:57.128,d88a457f-0881-4d33-4ec1-e4fe4e8564be,
2022-03-24 21:36:00.862,,2022-03-24 21:45:01.914,2022-03-24 21:45:01.867,1.0,UTC-0400,j9zBUHWfhn,com.sec.android.app.shealth,2022-03-24 21:36:17.865,b6193cbe-0bac-8550-964f-4911593d1f3b,
2020-10-03 14:42:16.385,,2020-10-03 14:44:58.470,2020-10-03 14:44:58.405,2.0,UTC-0400,j9zBUHWfhn,com.sec.android.app.shealth,2020-10-03 14:42:47.388,874eb861-7807-9773-3af5-7d10f11e2588,
2021-07-25 16:54:26.098,,2021-07-25 16:56:39.492,2021-07-25 16:56:39.370,1.0,UTC-0400,j9zBUHWfhn,com.sec.android.app.shealth,2021-07-25 16:54:38.102,03d5a000-9467-b97a-d12b-8a7d8189c386,
2022-01-30 22:14:15.959,,2022-01-30 22:14:57.044,2022-01-30 22:14:57.016,1.0,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-01-30 22:14:33.966,e5d9447a-41df-9050-449a-8ebe72672e4c,
2021-01-02 16:12:07.399,,2021-01-02 16:12:34.457,2021-01-02 16:12:34.429,1.0,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2021-01-02 16:12:29.402,7f96be70-b46f-2e96-987f-257b15e096cf,
2021-10-10 11:00:46.882,,2021-10-10 11:09:17.316,2021-10-10 11:09:17.179,1.0,UTC+0200,j9zBUHWfhn,com.sec.android.app.shealth,2021-10-10 11:00:52.884,2e401d30-9555-2df8-b90a-2cab4734bd5f,
2021-07-25 22:46:48.523,,2021-07-25 23:10:02.547,2021-07-25 23:10:02.527,1.0,UTC-0400,j9zBUHWfhn,com.sec.android.app.shealth,2021-07-25 22:47:00.524,5e55f557-13d2-fc3a-b66c-1ce1e6427029,
2020-12-07 00:16:31.236,,2020-12-07 00:24:34.317,2020-12-07 00:24:34.242,3.0,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2020-12-07 00:17:10.240,5364330a-04fe-a42c-8a8c-218f6636113d,
2020-11-01 15:54:21.705,,2020-11-01 15:56:45.859,2020-11-01 15:56:45.718,2.0,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2020-11-01 15:55:00.707,11954391-68d8-f406-4087-611a1e019fe2,
2021-11-17 02:11:25.589,,2021-11-17 02:25:15.623,2021-11-17 02:25:15.593,1.0,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2021-11-17 02:11:42.591,7f6594d5-74e1-89ac-9c26-4fb187117e82,
2020-11-01 15:14:12.324,,2020-11-01 15:27:08.375,2020-11-01 15:27:08.363,1.0,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2020-11-01 15:14:25.325,369fb6a8-6fc9-b94a-108c-fb3a1a6d69f3,
2021-05-15 20:47:07.157,,2021-05-15 20:59:02.195,2021-05-15 20:59:02.160,1.0,UTC-0400,j9zBUHWfhn,com.sec.android.app.shealth,2021-05-15 20:47:18.160,e7a51c9b-654e-bdbb-dbaf-a368accaf66a,
2021-09-26 21:35:40.844,,2021-09-26 21:39:10.885,2021-09-26 21:39:10.848,1.0,UTC-0400,j9zBUHWfhn,com.sec.android.app.shealth,2021-09-26 21:35:55.846,89d91b2d-861f-76fd-c915-5dd8f43fbbc6,
2022-02-09 22:57:44.441,,2022-02-09 23:07:03.548,2022-02-09 23:07:03.450,1.0,UTC-0500,j9zBUHWfhn,com.sec.android.app.shealth,2022-02-09 22:58:00.447,390cf085-85be-20fd-0f25-843f56acf6ab,
